method,provider_id,provider_name,transport_type,success_rate,p50_latency_ms,p90_latency_ms,p95_latency_ms,p99_latency_ms,avg_latency_ms,total_calls,last_updated
eth_getBalance,0xrpc_ethereum,0xRPC Ethereum,ws,1,187,238,238,422,205.57,21,-576458986475
eth_getBalance,alchemy_ethereum,Alchemy Ethereum,ws,1,56,69,69,240,67.47,15,-576458961867
eth_getBalance,ethereum_chainstack,Chainstack Ethereum,ws,1,122,166,166,282,140.21,14,-576458964981
eth_getBalance,ethereum_drpc,DRPC Ethereum,ws,1,67,216,219,326,102.56,16,-576458970274
eth_getBalance,ethereum_llamarpc,LlamaRPC,ws,1,109,122,131,131,111,9,-576458960613
eth_getBalance,ethereum_publicnode,PublicNode Ethereum,ws,1,146,215,215,215,180.5,2,-576459012209
eth_getBalance,0xrpc_ethereum,0xRPC Ethereum,http,1,194,577,577,610,317.38,13,-576458962325
eth_getBalance,alchemy_ethereum,Alchemy Ethereum,http,1,91,129,197,257,106.35,20,-576458960298
eth_getBalance,ethereum_chainstack,Chainstack Ethereum,http,1,150,190,190,242,154.73,15,-576458975701
eth_getBalance,ethereum_drpc,DRPC Ethereum,http,1,51,315,315,329,98.86,14,-576458977162
eth_getBalance,flashbots_ethereum,Flashbots Ethereum,http,1,121,219,219,261,140.71,14,-576458960298
eth_getBalance,ethereum_llamarpc,LlamaRPC,http,1,103,117,117,132,105,14,-576458981615
eth_getBalance,ethereum_merkle,Merkle Ethereum,http,1,111,232,233,251,141.47,17,-576458982706
eth_getBalance,ethereum_publicnode,PublicNode Ethereum,http,1,197,285,286,366,210,16,-576458962833
eth_getBlockByHash,0xrpc_ethereum,0xRPC Ethereum,ws,1,478,544,3407,3407,870.14,7,-576458996913
eth_getBlockByHash,alchemy_ethereum,Alchemy Ethereum,ws,1,70,113,122,125,79.44,16,-576458960953
eth_getBlockByHash,ethereum_chainstack,Chainstack Ethereum,ws,1,193,216,216,222,196.83,12,-576458975522
eth_getBlockByHash,ethereum_drpc,DRPC Ethereum,ws,1,50,52,104,104,55,10,-576458963080
eth_getBlockByHash,ethereum_llamarpc,LlamaRPC,ws,1,116,163,163,288,134.38,13,-576458962209
eth_getBlockByHash,ethereum_publicnode,PublicNode Ethereum,ws,1,154,313,313,313,194.33,3,-576459016509
eth_getBlockByHash,0xrpc_ethereum,0xRPC Ethereum,http,1,383,386,412,412,383.33,9,-576459376603
eth_getBlockByHash,alchemy_ethereum,Alchemy Ethereum,http,1,103,154,211,211,119.4,10,-576458981008
eth_getBlockByHash,ethereum_chainstack,Chainstack Ethereum,http,1,154,255,268,268,173,10,-576458965170
eth_getBlockByHash,ethereum_cloudflare,Cloudflare Ethereum,http,1,183,254,372,372,211.38,8,-576458969083
eth_getBlockByHash,ethereum_drpc,DRPC Ethereum,http,1,93,216,227,227,121.4,10,-576458968115
eth_getBlockByHash,flashbots_ethereum,Flashbots Ethereum,http,1,127,197,197,226,144.92,13,-576458995496
eth_getBlockByHash,ethereum_llamarpc,LlamaRPC,http,1,113,146,181,188,121.26,19,-576458964617
eth_getBlockByHash,ethereum_merkle,Merkle Ethereum,http,1,122,154,259,259,139.11,9,-576458974103
eth_getBlockByHash,ethereum_publicnode,PublicNode Ethereum,http,1,285,302,364,431,243.32,22,-576458996435
eth_getBlockByNumber,0xrpc_ethereum,0xRPC Ethereum,ws,1,371,398,2840,2840,577.67,9,-576458978047
eth_getBlockByNumber,alchemy_ethereum,Alchemy Ethereum,ws,1,79,102,133,139,85.25,16,-576458974393
eth_getBlockByNumber,ethereum_chainstack,Chainstack Ethereum,ws,1,188,210,221,276,178.1,21,-576458962794
eth_getBlockByNumber,ethereum_drpc,DRPC Ethereum,ws,1,57,88,88,197,69.36,14,-576458963463
eth_getBlockByNumber,ethereum_llamarpc,LlamaRPC,ws,1,121,169,169,174,127.75,12,-576458971797
eth_getBlockByNumber,ethereum_publicnode,PublicNode Ethereum,ws,1,337,337,337,337,337,1,-576460744553
eth_getBlockByNumber,0xrpc_ethereum,0xRPC Ethereum,http,1,400,788,863,953,504.65,17,-576458991444
eth_getBlockByNumber,alchemy_ethereum,Alchemy Ethereum,http,1,95,168,200,237,118.38,16,-576458966545
eth_getBlockByNumber,ethereum_chainstack,Chainstack Ethereum,http,1,143,245,245,277,163.85,13,-576458960691
eth_getBlockByNumber,ethereum_drpc,DRPC Ethereum,http,1,95,119,119,150,94.75,12,-576458971263
eth_getBlockByNumber,flashbots_ethereum,Flashbots Ethereum,http,1,125,170,171,171,131.56,9,-576459001981
eth_getBlockByNumber,ethereum_llamarpc,LlamaRPC,http,1,112,124,182,226,121.39,18,-576458968408
eth_getBlockByNumber,ethereum_merkle,Merkle Ethereum,http,1,124,267,278,298,157.82,17,-576458974603
eth_getBlockByNumber,ethereum_publicnode,PublicNode Ethereum,http,1,282,426,469,469,285.5,10,-576458960109
eth_getCode,0xrpc_ethereum,0xRPC Ethereum,ws,1,190,275,275,289,207.5,14,-576458980227
eth_getCode,alchemy_ethereum,Alchemy Ethereum,ws,1,53,116,116,118,69.42,12,-576458972473
eth_getCode,ethereum_chainstack,Chainstack Ethereum,ws,1,125,146,154,154,128.38,8,-576458967097
eth_getCode,ethereum_drpc,DRPC Ethereum,ws,1,52,102,208,214,73.59,22,-576458958565
eth_getCode,ethereum_llamarpc,LlamaRPC,ws,1,110,179,195,236,127.21,19,-576458985341
eth_getCode,ethereum_publicnode,PublicNode Ethereum,ws,1,214,263,323,323,240.67,6,-576459015427
eth_getCode,0xrpc_ethereum,0xRPC Ethereum,http,1,204,574,588,654,330.56,18,-576458964826
eth_getCode,alchemy_ethereum,Alchemy Ethereum,http,1,93,140,163,216,107.88,16,-576458966126
eth_getCode,ethereum_chainstack,Chainstack Ethereum,http,1,142,162,172,172,144.33,9,-576458971000
eth_getCode,ethereum_drpc,DRPC Ethereum,http,1,81,114,192,192,85.8,10,-576458967507
eth_getCode,flashbots_ethereum,Flashbots Ethereum,http,1,126,142,214,214,140.5,6,-576458978893
eth_getCode,ethereum_llamarpc,LlamaRPC,http,1,109,134,157,170,116,20,-576458962246
eth_getCode,ethereum_merkle,Merkle Ethereum,http,1,110,233,252,383,138.94,17,-576458963698
eth_getCode,ethereum_publicnode,PublicNode Ethereum,http,1,214,339,339,348,245,12,-576459390090
eth_getLogs,ethereum_chainstack,Chainstack Ethereum,http,0,0,0,0,0,0,91,-576458955859
eth_getLogs,ethereum_drpc,DRPC Ethereum,http,0,0,0,0,0,0,3,-576460711754
eth_getStorageAt,0xrpc_ethereum,0xRPC Ethereum,ws,1,185,2945,2945,4628,847.73,11,-576458997093
eth_getStorageAt,alchemy_ethereum,Alchemy Ethereum,ws,1,65,97,97,113,70.83,12,-576458962765
eth_getStorageAt,ethereum_chainstack,Chainstack Ethereum,ws,1,120,147,384,384,147.4,10,-576458997307
eth_getStorageAt,ethereum_drpc,DRPC Ethereum,ws,1,39,43,338,338,69,10,-576459379986
eth_getStorageAt,ethereum_llamarpc,LlamaRPC,ws,1,103,118,118,119,104.42,12,-576458992714
eth_getStorageAt,ethereum_publicnode,PublicNode Ethereum,ws,1,146,171,171,171,143.67,3,-576460720450
eth_getStorageAt,0xrpc_ethereum,0xRPC Ethereum,http,1,192,616,616,669,343.64,14,-576459004736
eth_getStorageAt,alchemy_ethereum,Alchemy Ethereum,http,1,84,110,116,241,99.31,16,-576458966347
eth_getStorageAt,ethereum_chainstack,Chainstack Ethereum,http,1,148,192,198,198,155.14,7,-576458960269
eth_getStorageAt,ethereum_drpc,DRPC Ethereum,http,1,76,206,219,219,116,10,-576459011228
eth_getStorageAt,flashbots_ethereum,Flashbots Ethereum,http,1,118,214,256,256,151.11,9,-576458968702
eth_getStorageAt,ethereum_llamarpc,LlamaRPC,http,1,98,139,158,215,114.19,16,-576458969681
eth_getStorageAt,ethereum_merkle,Merkle Ethereum,http,1,108,229,282,308,139.32,19,-576458968319
eth_getStorageAt,ethereum_publicnode,PublicNode Ethereum,http,1,199,230,287,388,212.53,17,-576458983430
eth_getTransactionByHash,0xrpc_ethereum,0xRPC Ethereum,ws,1,197,374,4763,4763,676.7,10,-576458982521
eth_getTransactionByHash,alchemy_ethereum,Alchemy Ethereum,ws,1,51,106,106,108,63.92,12,-576458991157
eth_getTransactionByHash,ethereum_chainstack,Chainstack Ethereum,ws,1,122,145,234,234,137.38,8,-576458989405
eth_getTransactionByHash,ethereum_drpc,DRPC Ethereum,ws,1,80,85,85,91,81.17,12,-576458992844
eth_getTransactionByHash,ethereum_llamarpc,LlamaRPC,ws,1,100,116,119,119,104.11,9,-576458960274
eth_getTransactionByHash,0xrpc_ethereum,0xRPC Ethereum,http,1,191,209,210,575,216.5,18,-576458961824
eth_getTransactionByHash,alchemy_ethereum,Alchemy Ethereum,http,1,87,149,153,153,101.4,10,-576459393123
eth_getTransactionByHash,ethereum_chainstack,Chainstack Ethereum,http,1,164,279,294,298,181.47,17,-576458969557
eth_getTransactionByHash,ethereum_cloudflare,Cloudflare Ethereum,http,1,276,454,454,457,289.54,13,-576458983561
eth_getTransactionByHash,ethereum_drpc,DRPC Ethereum,http,1,81,92,127,158,82.38,16,-576458970589
eth_getTransactionByHash,flashbots_ethereum,Flashbots Ethereum,http,1,126,218,218,279,143.36,14,-576458988598
eth_getTransactionByHash,ethereum_llamarpc,LlamaRPC,http,1,114,287,287,413,158.27,11,-576459006906
eth_getTransactionByHash,ethereum_merkle,Merkle Ethereum,http,1,127,235,235,245,147.45,11,-576458960265
eth_getTransactionByHash,ethereum_publicnode,PublicNode Ethereum,http,1,144,164,190,190,148.33,9,-576458977880
eth_getTransactionCount,0xrpc_ethereum,0xRPC Ethereum,ws,1,190,202,202,202,190.8,5,-576459417829
eth_getTransactionCount,alchemy_ethereum,Alchemy Ethereum,ws,1,136,171,171,173,142.55,11,-576458997094
eth_getTransactionCount,ethereum_chainstack,Chainstack Ethereum,ws,1,136,162,210,287,149.27,22,-576458965104
eth_getTransactionCount,ethereum_drpc,DRPC Ethereum,ws,1,54,82,84,85,59.84,19,-576458963578
eth_getTransactionCount,ethereum_llamarpc,LlamaRPC,ws,1,106,137,141,169,112.83,18,-576458979826
eth_getTransactionCount,ethereum_publicnode,PublicNode Ethereum,ws,1,185,185,185,185,185,1,-576459019235
eth_getTransactionCount,0xrpc_ethereum,0xRPC Ethereum,http,1,200,233,233,584,235.91,11,-576458960030
eth_getTransactionCount,alchemy_ethereum,Alchemy Ethereum,http,1,164,207,207,248,180.83,12,-576459400428
eth_getTransactionCount,ethereum_chainstack,Chainstack Ethereum,http,1,163,313,313,354,206.91,11,-576458965458
eth_getTransactionCount,ethereum_drpc,DRPC Ethereum,http,1,82,115,115,165,89.42,12,-576458982229
eth_getTransactionCount,flashbots_ethereum,Flashbots Ethereum,http,1,120,191,191,193,137.92,12,-576458974503
eth_getTransactionCount,ethereum_llamarpc,LlamaRPC,http,1,115,271,272,272,156.89,9,-576458974507
eth_getTransactionCount,ethereum_merkle,Merkle Ethereum,http,1,116,248,248,283,144.27,11,-576458966700
eth_getTransactionCount,ethereum_publicnode,PublicNode Ethereum,http,1,264,450,450,611,276.62,13,-576458964336
eth_getTransactionReceipt,0xrpc_ethereum,0xRPC Ethereum,ws,1,227,344,369,369,256.2,10,-576459013830
eth_getTransactionReceipt,alchemy_ethereum,Alchemy Ethereum,ws,1,50,61,61,82,53.69,13,-576459383660
eth_getTransactionReceipt,ethereum_chainstack,Chainstack Ethereum,ws,1,128,154,154,162,130,11,-576458968613
eth_getTransactionReceipt,ethereum_drpc,DRPC Ethereum,ws,1,47,70,70,82,51.73,11,-576458973766
